id,filename,similarity,source_target_similarity,improvement
1,Amazon,0.9324106221800134,0.9370543789541874,-0.004643756774174057
2,Amsterdam,0.9472571228046096,0.930389051386546,0.016868071418063568
3,Anita,0.9622433535401963,0.7757719883384295,0.18647136520176677
4,Arctic mapping,0.9805464765640843,0.937854708427936,0.04269176813614839
5,Banksy,0.9526514473961697,0.9027159382093508,0.04993550918681888
6,Billionaires,0.7348545817566219,0.9421754379066644,-0.20732085615004248
7,Blackberry,0.9373657488668303,0.8715527148264456,0.06581303404038474
8,Bolivia,0.9433510535485787,0.9550871385699325,-0.011736085021353815
9,Bonus pay,0.9546556445472049,0.9433317752848285,0.011323869262376385
10,Brazil,0.6003912613321176,0.8931265852438247,-0.2927353239117071
11,Cigarettes,0.9078814063325349,0.9458159566191802,-0.037934550286645274
12,climate change ,0.9444333886706131,0.9270406746140855,0.017392714056527647
13,Coal to challenge oil,0.9523849083420994,0.8768644849727595,0.07552042336933995
14,Copyright,0.9600920949775337,0.974713833972683,-0.014621738995149292
15,Crowdfunding,0.9266762154514612,0.8639773493944205,0.06269886605704067
16,Denmark,0.5437896800884072,0.9313823018912682,-0.387592621802861
17,Everest,0.3958513113767797,0.8320322855526054,-0.43618097417582574
18,Exercise,0.9438937165107238,0.9057605012893603,0.03813321522136359
19,Facebook deserted by millions of users,0.672848225718519,0.9065636660420529,-0.23371544032353386
20,False memory,0.5080391714358361,0.7913988451545259,-0.28335967371868975
21,Ferguson,0.9405158607741706,0.8982285514515953,0.042287309322575295
22,Fitness,0.918283264234477,0.8634412247602714,0.05484203947420563
23,Food shortages,0.9149848412948192,0.9387095753217792,-0.02372473402696007
24,Gangs,0.9499027684341749,0.8573954333410966,0.09250733509307829
25,Gorillas and oil,0.5628788670574509,0.9088899610937156,-0.3460110940362646
26,Greeks and drugs,0.9523618445080507,0.9067488916633202,0.04561295284473055
27,Hillsborough,0.9452699907387996,0.9029120153422037,0.042357975396595915
28,Insects,0.8909181360656411,0.8856456593687403,0.005272476696900785
29,Japan menu,0.9282652854316991,0.8676254086782368,0.060639876753462274
30,Japan,0.9550974662476985,0.8764858018887485,0.07861166435895006
31,Kashmir,0.5820432943962086,0.7906845553714495,-0.20864126097524094
32,Kate and William,0.9407980580583803,0.8854155177698022,0.05538254028857814
33,Kenya,0.9529650766998532,0.8335171193592661,0.11944795734058711
34,Liberia,0.9100941583056825,0.9391033740453617,-0.029009215739679184
35,Lie detector,0.9231156384429635,0.8968372007505634,0.026278437692400125
36,Life expectancy,0.9112211811578389,0.9136703922055922,-0.002449211047753308
37,Life on Mars,0.9369506621649769,0.7627390594044977,0.1742116027604792
38,Loterry,0.9374341299659172,0.9230160260963908,0.014418103869526466
39,Malala,0.9401611757311998,0.9610773816065565,-0.020916205875356697
40,Meteorite,0.9478544284060471,0.951958340631698,-0.004103912225650985
41,Midlife crisis,0.9177035537510383,0.8579587453123507,0.05974480843868757
42,Murderers beware,0.9452791848720251,0.9365634703768484,0.008715714495176718
43,Nelson Mandela,0.5817433396418981,0.8892229828762055,-0.30747964323430743
44,Nepal,0.9534132428889217,0.9693137597146916,-0.015900516825769873
45,Norwegian sun,0.9387408759839504,0.9765440672875655,-0.03780319130361509
46,NSA 2,0.5340546605308092,0.9342111874468515,-0.4001565269160423
47,NSA scandal,0.9161742956768011,0.936080619169044,-0.01990632349224286
48,Obama,0.9371359044492112,0.8287096242079002,0.10842628024131107
49,Old age,0.9142098393261595,0.935430929456596,-0.021221090130436493
50,Organs,0.9386548200190545,0.9063003119108712,0.0323545081081833
51,Pope,0.9363469762918387,0.8497707454863175,0.08657623080552124
52,Prince Harry,0.4480437391794705,0.9227682833159087,-0.47472454413643816
53,Rats,0.9154592625300189,0.9407931658575877,-0.025333903327568796
54,Richard III,0.9539606509342846,0.7350812184966492,0.2188794324376354
55,Royal Baby,0.9747368384343562,0.1794172528585192,0.795319585575837
56,Skydiver,0.7986515351006711,0.9327949153825098,-0.1341433802818387
57,Spain,0.9153405350458244,0.9177157084041773,-0.002375173358352911
58,Starbucks,0.930778571082114,0.8346549849954998,0.0961235860866142
59,Superbugs,0.9379146993867615,0.8810534948008819,0.05686120458587962
60,Swedish prisons,0.9503763303605798,0.9612612655372481,-0.010884935176668331
61,Syria,0.4015345822564405,0.7813365013390954,-0.37980191908265487
62,Teff,0.9517157897924355,0.944872704976716,0.006843084815719491
63,Thatcher,0.9403215882262856,0.9024854248138515,0.03783616341243412
64,US shutdown,0.9463560386969696,0.8064007766429758,0.13995526205399378
65,Violence,0.9259780015173433,0.8998431800921335,0.026134821425209842
66,WNL 101 year old bottle message,0.5301845206624884,0.9566409888994045,-0.4264564682369161
67,WNL A good night sleep,0.5401972238973832,0.8494074413314572,-0.30921021743407395
68,WNL Apple,0.617260210430911,0.9313573889642686,-0.3140971785333576
69,WNL Arctic Ramadan,0.9773443087745294,0.23981228254133166,0.7375320262331977
70,WNL Are MOOCs the future,0.31217769404923673,0.8881474570165571,-0.5759697629673204
71,WNL are you a bad boyfriend,0.9282563162675058,0.8743969906843769,0.05385932558312889
72,WNL Bangladesh factory owners,0.9524765857334034,0.952478033886934,-1.4481535305366222e-06
73,WNL Bangladeshi organization,0.9404937805435587,0.8760297425248724,0.06446403801868628
74,WNL Barack Obama,0.9366153715180755,0.9047630413387951,0.03185233017928035
75,WNL Basic phone logs,0.9272810928952606,0.8299249311322227,0.09735616176303796
76,WNL Billionaires,0.9394322213871151,0.9205314494737536,0.01890077191336148
77,WNL Black Friday,0.6184467997042553,0.9308635984654828,-0.3124167987612275
78,WNL Bogus Allergy,0.900687137612029,0.8162178921765774,0.08446924543545165
79,WNL Bright Future,0.5047101408395536,0.7836117749379955,-0.27890163409844193
80,WNL Brown bears,0.9496554301956344,0.924316639188481,0.025338791007153416
81,WNL Calais Migrants,0.920738020905475,0.8509095914689907,0.06982842943648426
82,WNL Can the US,0.9496211423077947,0.9417919386146058,0.007829203693188957
83,WNL Canadian Pair,0.9466678676397217,0.9337504450296651,0.012917422610056573
84,WNL Castaway,0.9166333134093319,0.7975865889353584,0.11904672447397346
85,WNL Changing India,0.9410248823645692,0.9255340248405327,0.01549085752403645
86,WNL Coloring Books,0.9506511439750708,0.8254264077818131,0.1252247361932577
87,WNL Criminal Links,0.9391524820131649,0.7870308784872672,0.15212160352589776
88,WNL Cuba,0.9449381873596383,0.889324264168673,0.05561392319096525
89,WNL David Bowie,0.9663767434534931,0.8052769175998381,0.161099825853655
90,WNL David Mitchell,0.9386497302472431,0.8481826498871601,0.090467080360083
91,WNL Drowning in rubbish,0.9421567729906574,0.8874458408026277,0.05471093218802969
92,WNL EU Pollution,0.9410801572766336,0.9257808831917917,0.015299274084841885
93,WNL Experience,0.9109138593798255,0.9354415930642065,-0.024527733684380992
94,WNL Extinction,0.9370862829257918,0.8578965048193098,0.07918977810648198
95,WNL Extreme heat,0.959490009653557,0.8269910759124872,0.1324989337410698
96,WNL FIFA,0.9415410345244053,0.8486623609234022,0.0928786736010031
97,WNL Fifth of young adults,0.5564025234796619,0.8801930664280292,-0.3237905429483673
98,WNL First female coach,0.953279267808266,0.9247417297887139,0.028537538019552056
99,WNL First high resolution images,0.9709055041103499,0.9423742238967249,0.028531280213625054
100,WNL Five jobs,0.9275134215686202,0.847043832612157,0.08046958895646317
101,WNL Four new elements,0.9387191672753474,0.8963640164768085,0.04235515079853891
102,WNL Glastonbury,0.9407406525092468,0.8850214189418725,0.05571923356737429
103,WNL Goodbye fish and chips,0.9358102805336153,0.8710641742095788,0.06474610632403643
104,WNL Google boss,0.9315654849538644,0.8939647919077023,0.03760069304616209
105,WNL Google car,0.9244717165609397,0.8974380764028448,0.02703364015809495
106,WNL How downtown Abbey,0.97787100071608,0.8882689429233059,0.08960205779277408
107,WNL I confused my numbers,0.9226842443471903,0.9282882328582699,-0.005603988511079572
108,WNL Icebucket challenge,0.9263912967985655,0.7755920810554329,0.1507992157431326
109,WNL Icelandic names,0.36360823341516973,0.9637662807197033,-0.6001580473045336
110,WNL In flight,0.955967085295506,0.9507454209449082,0.005221664350597788
111,WNL India's rich,0.935200010974854,0.852959521687629,0.08224048928722494
112,WNL Inky the octopus,0.5186945331758642,0.9491807995481041,-0.43048626637223986
113,WNL Inventions,0.9496725573380678,0.891142243676166,0.058530313661901756
114,WNL Japan,0.9490031939759986,0.922854575980063,0.026148617995935597
115,WNL JMW Turner,0.9328207731411383,0.9188730533923031,0.013947719748835241
116,WNL John Lewis,0.4647745478015163,0.8639016707835503,-0.399127122982034
117,WNL Kate Bush,0.9287926345244475,0.9036785169102337,0.025114117614213782
