id,filename,similarity,source_target_similarity,improvement
1,Amazon,0.9710147089883885,0.9633232084978618,0.007691500490526693
2,Amsterdam,0.9432220427368743,0.9450705583548529,-0.0018485156179786078
3,Anita,0.9543962796041526,0.8603850724513811,0.09401120715277156
4,Arctic mapping,0.9225559382266718,0.9461425650323771,-0.023586626805705335
5,Banksy,0.9453185459252054,0.940084632864491,0.005233913060714412
6,Billionaires,0.7245901314005322,0.968300547528635,-0.24371041612810285
7,Blackberry,0.9396246946983733,0.919924598569704,0.019700096128669298
8,Bolivia,0.9442669048974945,0.9729449794256346,-0.028678074528140085
9,Bonus pay,0.9357656497172592,0.9373622607454299,-0.001596611028170769
10,Brazil,0.5679672631857159,0.8098126065151411,-0.2418453433294252
11,Cigarettes,0.9285474562827404,0.9786897323420234,-0.05014227605928301
12,climate change ,0.9436869703076713,0.9848355970582517,-0.0411486267505804
13,Coal to challenge oil,0.957000478963358,0.9172689140822937,0.03973156488106433
14,Copyright,0.9274568574249894,0.9613933141635099,-0.033936456738520526
15,Crowdfunding,0.9285584068053172,0.9026376480731175,0.025920758732199678
16,Denmark,0.5587931687153758,0.9329889849619627,-0.37419581624658693
17,Everest,0.47754495039599476,0.9502106222321067,-0.47266567183611197
18,Exercise,0.9333891618071444,0.8772466621747679,0.0561424996323765
19,Facebook deserted by millions of users,0.6995886779440093,0.9323590375903239,-0.23277035964631465
20,False memory,0.4867832668234111,0.9156836708209353,-0.42890040399752416
21,Ferguson,0.9402239870726687,0.9446270289814949,-0.004403041908826122
22,Fitness,0.934805270777276,0.9067232129150066,0.02808205786226947
23,Food shortages,0.9140638977363519,0.9462989401343316,-0.032235042397979696
24,Gangs,0.9404545584154704,0.8606300733210841,0.07982448509438633
25,Gorillas and oil,0.5441473428006167,0.9697599864695439,-0.42561264366892715
26,Greeks and drugs,0.934737745704683,0.9071649208562278,0.027572824848455246
27,Hillsborough,0.9498692693061856,0.9311996991033367,0.018669570202848984
28,Insects,0.9273544574550345,0.9194901467509892,0.007864310704045363
29,Japan menu,0.9357381483137461,0.9158690230882784,0.019869125225467688
30,Japan,0.9254525981293239,0.8869343611842453,0.03851823694507861
31,Kashmir,0.5529527344603951,0.8470205573989809,-0.2940678229385858
32,Kate and William,0.928265008028976,0.9021885023939571,0.026076505635018954
33,Kenya,0.9525615754420673,0.9140717729594079,0.03848980248265943
34,Liberia,0.9213252422307012,0.9364655507150286,-0.015140308484327347
35,Lie detector,0.9394748882431476,0.9300906216589895,0.00938426658415814
36,Life expectancy,0.9201283914052517,0.9793884092922571,-0.05926001788700541
37,Life on Mars,0.9303942022761607,0.7897857022438545,0.14060850003230618
38,Loterry,0.9358865075697662,0.9319074373356209,0.003979070234145343
39,Malala,0.9445170650890854,0.9783002922073941,-0.03378322711830872
40,Meteorite,0.9452845157992804,0.9654392751835832,-0.02015475938430278
41,Midlife crisis,0.9266960652255715,0.9596887473199927,-0.03299268209442119
42,Murderers beware,0.9269407707043034,0.9572181133226938,-0.030277342618390435
43,Nelson Mandela,0.5174180200972323,0.9427029198160628,-0.42528489971883054
44,Nepal,0.9394903839580421,0.9857360927933886,-0.04624570883534651
45,Norwegian sun,0.9393625574809896,0.977587061672243,-0.03822450419125334
46,NSA 2,0.5818314945823452,0.9494519100100833,-0.36762041542773816
47,NSA scandal,0.9193248762486402,0.9285913515113657,-0.009266475262725504
48,Obama,0.9275838388279655,0.8232808788946109,0.10430295993335459
49,Old age,0.9322759805658924,0.965297672898818,-0.03302169233292551
50,Organs,0.9363267992640498,0.9476452504809479,-0.011318451216898118
51,Pope,0.9600103987948212,0.8703583401953242,0.08965205859949699
52,Prince Harry,0.5092070510373501,0.9066006026438835,-0.39739355160653345
53,Rats,0.9165852255449782,0.973997084606371,-0.05741185906139279
54,Richard III,0.9437284655060101,0.7925447737573342,0.15118369174867585
55,Royal Baby,0.9506270581490294,0.9524832311179837,-0.0018561729689543505
56,Skydiver,0.4765796821864231,0.9254589523597023,-0.4488792701732792
57,Spain,0.9181660905084356,0.8798840074511474,0.038282083057288196
58,Starbucks,0.9200910777474609,0.9339779273189379,-0.013886849571477011
59,Superbugs,0.9647112053883905,0.9119984758274569,0.05271272956093365
60,Swedish prisons,0.9167615222571017,0.9702502569466828,-0.05348873468958104
61,Syria,0.4029745326697376,0.8111385146652346,-0.40816398199549697
62,Teff,0.9180770146773561,0.9686095141962041,-0.05053249951884797
63,Thatcher,0.9483444526796574,0.943155342120966,0.005189110558691423
64,US shutdown,0.9517267042586104,0.834584352333076,0.11714235192553435
65,Violence,0.9324413698810264,0.9252516585544359,0.00718971132659052
66,WNL 101 year old bottle message,0.528957461816646,0.9696278095818684,-0.4406703477652224
67,WNL A good night sleep,0.5390278448488941,0.8724244189357928,-0.3333965740868987
68,WNL Apple,0.6351710831347569,0.968200171780087,-0.3330290886453301
69,WNL Arctic Ramadan,0.9679572592295995,0.9585435857843984,0.009413673445201165
70,WNL Are MOOCs the future,0.4316235016386292,0.8783322608466047,-0.4467087592079754
71,WNL are you a bad boyfriend,0.9294444480035478,0.9483984537876196,-0.018954005784071803
72,WNL Bangladesh factory owners,0.9472753953884121,0.9692264685674425,-0.021951073179030445
73,WNL Bangladeshi organization,0.9426161828044055,0.937002343320326,0.005613839484079564
74,WNL Barack Obama,0.9459130668841311,0.9624967195532033,-0.016583652669072135
75,WNL Basic phone logs,0.9309612177832267,0.934935167964959,-0.0039739501817323
76,WNL Billionaires,0.9363870605462606,0.9508343868977431,-0.014447326351482492
77,WNL Black Friday,0.559032757686497,0.9068569457814513,-0.3478241880949543
78,WNL Bogus Allergy,0.910227643265069,0.9568647713428663,-0.046637128077797296
79,WNL Bright Future,0.5432477952893413,0.7833533678768786,-0.24010557258753729
80,WNL Brown bears,0.9381721900258014,0.9647254132332552,-0.02655322320745379
81,WNL Calais Migrants,0.9128905764238837,0.9227826246032295,-0.009892048179345747
82,WNL Can the US,0.953261088357984,0.9490377477005496,0.004223340657434349
83,WNL Canadian Pair,0.9535818740769595,0.9621153265266764,-0.008533452449716927
84,WNL Castaway,0.9297480756900418,0.8752055494761646,0.05454252621387723
85,WNL Changing India,0.9417932443847381,0.9351288386631205,0.006664405721617639
86,WNL Coloring Books,0.9434071967388219,0.8261573229110064,0.11724987382781549
87,WNL Criminal Links,0.9312181797008754,0.8516109709825621,0.07960720871831328
88,WNL Cuba,0.9215830913828519,0.9647001556117967,-0.04311706422894479
89,WNL David Bowie,0.9331280503130146,0.8458971402114284,0.08723091010158623
90,WNL David Mitchell,0.9607911540286768,0.9527775778796463,0.008013576149030421
91,WNL Drowning in rubbish,0.9608983428217314,0.9017779947171463,0.05912034810458511
92,WNL EU Pollution,0.9436032705053727,0.8980272498477992,0.04557602065757349
93,WNL Experience,0.9028662385659632,0.9252253789410505,-0.02235914037508735
94,WNL Extinction,0.9324078522475898,0.9188232167321059,0.013584635515483945
95,WNL Extreme heat,0.9186872652853679,0.925495390578944,-0.006808125293576106
96,WNL FIFA,0.9723836733369853,0.8846394253845438,0.08774424795244151
97,WNL Fifth of young adults,0.5793079110036714,0.9344751325228764,-0.355167221519205
98,WNL First female coach,0.9378383254686103,0.9016640409158898,0.03617428455272054
99,WNL First high resolution images,0.9537444272700233,0.9689297626862512,-0.015185335416227908
100,WNL Five jobs,0.9441709963563951,0.8512052144401683,0.09296578191622684
